country,country isocode,year,DD regime,DD category,,Monarchy,Commonwealth,Monarch name,Monarch accession,Monarch birthyear,Female monarch (0: No; 1: Yes),Democracy,Presidential,President name,President accesion,President birthyear,Interim phase (more than 2 Presidents/year=1),Female president (0: No; 1: Yes),Colony,Colony of,Colony administrated by,Official name,Communist,Regime change lag,,,spatial democracy,,countrycode,,No. of chambers in parliament,proportional voting,Election system,No. of members in lower house,No. of members in upper house,No. of members in third house,New constitution,fullsuffrage,Suffrage restriction,electoral,,spatial electoral,,alternation,multiparty,free and fair election,,parliamentary election year,"Parliamentary election month, year",Postponed parliamentary election,Presidential election year,"Presidential election month, year",Postponed presidential election,
Albania,ALB,2003,0,Parliamentary democracy,,0,0,,,,,1,0,Alfred Spiro Moisiu,2002,1929,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,,140,,,0,1,,3,,2,,1,1,1,,0,,0,0,,0,
Albania,ALB,2004,0,Parliamentary democracy,,0,0,,,,,1,0,Alfred Spiro Moisiu,2002,1929,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,,140,,,0,1,,3,,2,,1,1,1,,0,,0,0,,0,
Albania,ALB,2005,0,Parliamentary democracy,,0,0,,,,,1,0,Alfred Spiro Moisiu,2002,1929,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,,140,,,0,1,,3,,2,,1,1,1,,0,,0,0,,0,
Albania,ALB,2006,0,Parliamentary democracy,,0,0,,,,,1,0,Alfred Spiro Moisiu,2002,1929,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,Mixed-member SMD/PR,140,,,0,1,,3,,1.8,,1,1,1,,1,July 2005,0,0,,0,
Albania,ALB,2007,0,Parliamentary democracy,,0,0,,,,,1,0,Alfred Spiro Moisiu,2002,1929,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,,140,,,0,1,,3,,1.8,,1,1,1,,0,,0,0,,0,
Albania,ALB,2008,0,Parliamentary democracy,,0,0,,,,,1,0,Bamir Myrteza Topi,2007,1957,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,0,,140,,,0,1,,3,,2.2,,1,1,1,,0,,0,0,,0,
Albania,ALB,2009,0,Parliamentary democracy,,0,0,,,,,1,0,Bamir Myrteza Topi,2007,1957,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,,140,,,0,1,,3,,2.2,,1,1,1,,1,June 2009,0,0,,0,
Albania,ALB,2010,0,Parliamentary democracy,,0,0,,,,,1,0,Bamir Myrteza Topi,2007,1957,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,List P (large multi-member) ,140,,,0,1,,3,,2.2,,1,1,1,,0,,0,0,,0,
Albania,ALB,2011,0,Parliamentary democracy,,0,0,,,,,1,0,Bamir Myrteza Topi,2007,1957,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,,140,,,0,1,,3,,1.8,,1,1,1,,0,,0,0,,0,
Albania,ALB,2012,0,Parliamentary democracy,,0,0,,,,,1,0,Bamir Myrteza Topi,2007,1957,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,,140,,,0,1,,3,,1.8,,1,1,1,,0,,0,0,,0,
Albania,ALB,2013,0,Parliamentary democracy,,0,0,,,,,1,0,Bujar Nishani,2012,1964,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,,140,,,0,1,,3,,1.8,,1,1,1,,1,June 2013,0,0,,0,
Albania,ALB,2014,0,Parliamentary democracy,,0,0,,,,,1,0,Bujar Nishani,2012,1964,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,,140,,,0,1,,3,,1.6,,1,1,1,,0,,0,0,,0,
Albania,ALB,2015,0,Parliamentary democracy,,0,0,,,,,1,0,Bujar Nishani,2012,1964,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,d'Hondt,140,,,0,1,,3,,1.6,,1,1,1,,0,,0,0,,0,
Albania,ALB,2016,0,Parliamentary democracy,,0,0,,,,,1,0,Bujar Nishani,2012,1964,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,d'Hondt,140,,,0,1,,3,,1.4,,1,1,1,,0,,0,0,,0,
Albania,ALB,2017,0,Parliamentary democracy,,0,0,,,,,1,0,Bujar Nishani,2012,1964,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,d'Hondt,140,,,0,1,,3,,1.4,,1,1,1,,1,June 2017,0,0,,0,
Albania,ALB,2018,0,Parliamentary democracy,,0,0,,,,,1,0,Ilir Meta,2017,1969,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,d'Hondt,140,,,0,1,,3,,1.4,,1,1,1,,0,,0,0,,0,
Albania,ALB,2019,0,Parliamentary democracy,,0,0,,,,,1,0,Ilir Meta,2017,1969,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,d'Hondt,140,,,0,1,,3,,1.8,,1,1,1,,0,,0,0,,0,
Albania,ALB,2020,0,Parliamentary democracy,,0,0,,,,,1,0,Ilir Meta,2017,1969,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,d'Hondt,140,,,0,1,,3,,1.8,,1,1,1,,0,,0,0,,0,
Albania,ALB,2021,0,Parliamentary democracy,,0,0,,,,,1,0,Ilir Meta,2017,1969,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,d'Hondt,140,,,0,1,,3,,1.8,,1,1,1,,1,April 2021,0,0,,0,
Albania,ALB,2022,0,Parliamentary democracy,,0,0,,,,,1,0,Ilir Meta,2017,1969,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,d'Hondt,140,,,0,1,,3,,1.8,,1,1,1,,0,,0,0,,0,
Albania,ALB,2023,0,Parliamentary democracy,,0,0,,,,,1,0,Bajram Begaj,2022,1967,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,d'Hondt,140,,,0,1,,3,,1.8,,1,1,1,,0,,0,0,,0,
Albania,ALB,2024,0,Parliamentary democracy,,0,0,,,,,1,0,Bajram Begaj,2022,1967,0,0,0,,,Republic of Albania,0,0,,,0.2,,countrycode,,1,1,d'Hondt,140,,,0,1,,3,,1.8,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1982,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,1,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1983,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1984,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,1,April 1984,0,0,,0,
Antigua and Barbuda,ATG,1985,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1986,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1987,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1988,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1989,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,1,March 1989,0,0,,0,
Antigua and Barbuda,ATG,1990,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1991,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1992,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1993,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1994,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,1,March 1994,0,0,,0,
Antigua and Barbuda,ATG,1995,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1996,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1997,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1998,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,1999,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,1,March 1999,0,0,,0,
Antigua and Barbuda,ATG,2000,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2001,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2002,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2003,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2004,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,1,March 2004,0,0,,0,
Antigua and Barbuda,ATG,2005,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2006,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2007,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2008,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2009,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,1,March 2009,0,0,,0,
Antigua and Barbuda,ATG,2010,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2011,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2012,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2013,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2014,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,1,June 2014,0,0,,0,
Antigua and Barbuda,ATG,2015,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2016,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2017,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2018,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,1,March 2018,0,0,,0,
Antigua and Barbuda,ATG,2019,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2020,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,2.5,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2021,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2022,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2023,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,1,January 2023,0,0,,0,
Antigua and Barbuda,ATG,2024,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,#REF!,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Antigua and Barbuda,ATG,2025,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Antigua and Barbuda,0,0,,,1,,countrycode,,2,0,FPTP,19,17,,0,1,,3,,3,,1,1,1,,0,,0,0,,0,
Australia,AUS,1950,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,121,60,,0,1,,3,,1.66666666666667,,1,1,1,,1,December 1949,0,0,,0,
Australia,AUS,1951,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,121,60,,0,1,,3,,1.66666666666667,,1,1,1,,1,April 1951,0,0,,0,
Australia,AUS,1952,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,121,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1953,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,121,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1954,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,121,60,,0,1,,3,,1.66666666666667,,1,1,1,,1,May 1954,0,0,,0,
Australia,AUS,1955,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,121,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1956,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,122,60,,0,1,,3,,1.66666666666667,,1,1,1,,1,December 1955,0,0,,0,
Australia,AUS,1957,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,122,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1958,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,122,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1959,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,122,60,,0,1,,3,,1.66666666666667,,1,1,1,,1,November 1958,0,0,,0,
Australia,AUS,1960,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,122,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1961,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,122,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1962,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,122,60,,0,1,,3,,1.66666666666667,,1,1,1,,1,December 1961,0,0,,0,
Australia,AUS,1963,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,122,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1964,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,122,60,,0,1,,3,,1.66666666666667,,1,1,1,,1,November 1963,0,0,,0,
Australia,AUS,1965,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,122,60,,0,1,,3,,2.33333333333333,,1,1,1,,0,,0,0,,0,
Australia,AUS,1966,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,122,60,,0,1,,3,,2.33333333333333,,1,1,1,,0,,0,0,,0,
Australia,AUS,1967,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,124,60,,0,1,,3,,1.66666666666667,,1,1,1,,1,November 1966,0,0,,0,
Australia,AUS,1968,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,124,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1969,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,124,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1970,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,125,60,,0,1,,3,,1.66666666666667,,1,1,1,,1,October 1969,0,0,,0,
Australia,AUS,1971,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,125,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1972,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,125,60,,0,1,,3,,1.66666666666667,,1,1,1,,0,,0,0,,0,
Australia,AUS,1973,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,125,60,,0,1,,3,,1.66666666666667,,1,1,1,,1,December 1972,0,0,,0,
Australia,AUS,1974,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,127,60,,0,1,,3,,1.66666666666667,,1,1,1,,1,May 1974,0,0,,0,
Australia,AUS,1975,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,127,60,,0,1,,3,,1,,1,1,1,,0,,0,0,,0,
Australia,AUS,1976,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,127,64,,0,1,,3,,1.33333333333333,,1,1,1,,1,December 1975,0,0,,0,
Australia,AUS,1977,0,Parliamentary democracy,,1,1,,,,,1,0,,,,,,0,,,Commonwealth of Australia,0,0,,,0.333333333333333,,#VALUE!,,2,0,IRV,127,64,,0,1,,3,,1.33333333333333,,1,1,1,,0,,0,0,,0,
